J1, J2, J3, J4, J5, J6, ERROR, STEP_MM, STEP_DEG, MOVE_ID, TIME_S, X_TCP, Y_TCP, Z_TCP, SPEED_J1, SPEED_J2, SPEED_J3, SPEED_J4, SPEED_J5, SPEED_J6, ACCEL_J1, ACCEL_J2, ACCEL_J3, ACCEL_J4, ACCEL_J5, ACCEL_J6
-90.0000000, -90.0000000, -90.0000000, -90.0000000, 90.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 15.0000000, 0.0000000, -163.9000000, -687.3000000, 648.5000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
-90.0000000, -90.0000000, -90.0000000, -90.0000000, 90.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 16.0000000, 0.0000000, -163.9000000, -687.3000000, 648.5000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
-90.0000000, -90.0000000, -90.0000000, -90.0000000, 90.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 17.0000000, 0.0000000, -163.9000000, -687.3000000, 648.5000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
-90.0000000, -90.0000000, -90.0000000, -90.0000000, 90.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 18.0000000, 0.0000000, -163.9000000, -687.3000000, 648.5000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
-90.0000000, -90.0000000, -90.0000000, -90.0000000, 90.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 19.0000000, 0.0000000, -163.9000000, -687.3000000, 648.5000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
-90.0000000, -90.0000000, -90.0000000, -90.0000000, 90.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 20.0000000, 0.0000000, -163.9000000, -687.3000000, 648.5000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
-90.0000000, -90.0000000, -90.0000000, -90.0000000, 90.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 21.0000000, 0.0000000, -163.9000000, -687.3000000, 648.5000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
-89.9999999, -89.7567083, -90.1430013, -90.1002904, 90.0000000, 0.0000001, 0.0000000, 2.7862597, 0.2432917, 22.0000000, 0.1000000, -163.8999984, -684.6974605, 649.4950031, 0.0000013, 2.4329171, -1.4300131, -1.0029040, 0.0000000, 0.0000013, 0.0000135, 24.3291708, -14.3001310, -10.0290397, 0.0000000, 0.0000135
-89.9999998, -89.6091217, -90.2297493, -90.1611290, 90.0000000, 0.0000002, 0.0000000, 1.6890762, 0.3908783, 22.0000000, 0.0768340, -163.8999974, -683.1178638, 650.0932112, 0.0000011, 1.9208501, -1.1290318, -0.7918183, 0.0000000, 0.0000011, -0.0000037, -6.6645881, 3.9172927, 2.7472954, 0.0000000, -0.0000037
-89.9999998, -89.6082884, -90.2302391, -90.1614725, 90.0000000, 0.0000002, 0.0000000, 0.0095346, 0.0008333, 22.0000000, 0.0081649, -163.8999974, -683.1089432, 650.0965773, 0.0000001, 0.1020610, -0.0599891, -0.0420719, 0.0000000, 0.0000001, -0.0001236, -222.7576640, 130.9318684, 91.8257956, 0.0000000, -0.0001236
